epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,106.126,1.3456,2.45749,1.44081,0.70721,0.07143,0.03461,0.01331,2.09236,435.799,5.17531,0.070297,0.00330033,0.00330033
2,208.012,1.3772,2.07792,1.49429,0.13753,0.14794,0.10597,0.0607,2.27996,21.6544,2.8559,0.0401657,0.00650232,0.00650232
3,310.231,1.41977,1.99541,1.50616,0.91655,0.17333,0.18437,0.11399,1.94478,5.7756,2.22068,0.00990234,0.0095723,0.0095723
4,411.148,1.27235,1.76033,1.399,0.33862,0.60517,0.40397,0.26796,1.21106,6.19131,1.4459,0.009406,0.009406,0.009406
5,512.118,1.21108,1.58577,1.35291,0.40976,0.57746,0.41262,0.2791,1.13085,5.81765,1.43343,0.009208,0.009208,0.009208
6,612.11,1.22574,1.60563,1.40044,0.37442,0.69111,0.49948,0.34106,1.13061,2.40453,1.38368,0.00901,0.00901,0.00901
7,712.036,1.14839,1.47291,1.31121,0.553,0.71206,0.58544,0.42904,1.04347,1.64925,1.32806,0.008812,0.008812,0.008812
8,797.999,1.10119,1.39396,1.29218,0.46856,0.75426,0.57506,0.43651,0.96899,1.6163,1.25686,0.008614,0.008614,0.008614
9,882.734,1.1179,1.40875,1.27782,0.5955,0.65129,0.57503,0.43419,0.96227,1.54008,1.24294,0.008416,0.008416,0.008416
10,980.88,1.08846,1.33823,1.27391,0.50525,0.81302,0.58104,0.42754,0.94627,1.42075,1.22332,0.008218,0.008218,0.008218
11,1067.69,1.01581,1.27403,1.24345,0.5988,0.8109,0.62556,0.48097,0.9037,1.27941,1.1715,0.00802,0.00802,0.00802
12,1153.57,1.04248,1.25917,1.24722,0.49678,0.82797,0.62455,0.4842,0.87702,1.34698,1.17847,0.007822,0.007822,0.007822
13,1240.93,1.05491,1.38987,1.27885,0.46205,0.85498,0.63554,0.47371,0.96037,1.28207,1.22295,0.007624,0.007624,0.007624
14,1328.02,1.04822,1.36036,1.26059,0.55145,0.80373,0.60197,0.46399,0.84077,1.24667,1.11609,0.007426,0.007426,0.007426
15,1414.26,0.9922,1.24695,1.20925,0.49126,0.87143,0.58803,0.44807,0.87196,1.34166,1.13504,0.007228,0.007228,0.007228
16,1500.97,0.95786,1.25742,1.17358,0.52713,0.84107,0.59857,0.46369,0.83248,1.20627,1.11974,0.00703,0.00703,0.00703
17,1588.86,0.9602,1.21966,1.18228,0.60063,0.78014,0.62022,0.4866,0.8142,1.1793,1.12432,0.006832,0.006832,0.006832
18,1677.77,0.89998,1.17275,1.13276,0.59725,0.84349,0.65619,0.51264,0.79212,1.05956,1.08794,0.006634,0.006634,0.006634
19,1764.98,0.93107,1.16279,1.15643,0.51136,0.90349,0.64806,0.50829,0.81445,1.10439,1.0988,0.006436,0.006436,0.006436
20,1852.94,0.94508,1.22003,1.16467,0.53643,0.86542,0.61288,0.46986,0.7987,1.07719,1.09795,0.006238,0.006238,0.006238
21,1940.5,0.89538,1.14767,1.13505,0.60066,0.87021,0.67758,0.52665,0.79221,1.06048,1.07249,0.00604,0.00604,0.00604
22,2028.25,0.90165,1.10891,1.13717,0.55417,0.83651,0.61793,0.49517,0.74194,1.07473,1.04009,0.005842,0.005842,0.005842
23,2116.74,0.92081,1.13078,1.15925,0.51809,0.85587,0.62023,0.499,0.76296,1.0599,1.07787,0.005644,0.005644,0.005644
24,2205.36,0.89663,1.14017,1.11716,0.58078,0.90426,0.64762,0.50695,0.80509,1.0055,1.07672,0.005446,0.005446,0.005446
25,2293.44,0.91126,1.1317,1.14464,0.59406,0.8362,0.64096,0.51869,0.718,1.02694,1.00819,0.005248,0.005248,0.005248
26,2382.03,0.84405,1.06323,1.09435,0.58346,0.90576,0.62811,0.50281,0.71445,0.95466,1.01618,0.00505,0.00505,0.00505
27,2471.35,0.80852,1.03788,1.07074,0.607,0.89496,0.686,0.56211,0.73702,0.96133,1.01551,0.004852,0.004852,0.004852
28,2561.19,0.82598,1.04427,1.0882,0.59535,0.91302,0.66366,0.53983,0.70602,0.92136,1.00693,0.004654,0.004654,0.004654
29,2649.29,0.84544,1.06672,1.12572,0.61121,0.88984,0.65572,0.5245,0.73962,0.90688,1.01388,0.004456,0.004456,0.004456
30,2738.61,0.80028,1.02181,1.07949,0.60562,0.89968,0.64991,0.53314,0.71739,0.95094,1.00049,0.004258,0.004258,0.004258
31,2827.6,0.80205,1.03585,1.08597,0.63026,0.91206,0.68972,0.57449,0.68341,0.87901,0.98441,0.00406,0.00406,0.00406
32,2916.63,0.80056,1.01416,1.09071,0.6459,0.90667,0.68936,0.57868,0.67548,0.86243,0.97427,0.003862,0.003862,0.003862
33,3005.13,0.77725,0.97624,1.06826,0.62936,0.94794,0.66693,0.54778,0.66446,0.86289,0.96259,0.003664,0.003664,0.003664
34,3104.1,0.7531,0.9644,1.03859,0.6082,0.92173,0.68689,0.55704,0.69339,0.86804,0.982,0.003466,0.003466,0.003466
35,3209.08,0.75584,0.97396,1.05393,0.58782,0.94,0.67232,0.55881,0.65075,0.84731,0.95619,0.003268,0.003268,0.003268
36,3313.47,0.75689,0.95359,1.05797,0.60835,0.93214,0.65451,0.54808,0.64831,0.85379,0.95854,0.00307,0.00307,0.00307
37,3417.35,0.75368,0.95575,1.04823,0.62903,0.92254,0.68924,0.58077,0.64379,0.82199,0.95535,0.002872,0.002872,0.002872
38,3521.72,0.73408,0.95797,1.02505,0.61675,0.96457,0.70341,0.57995,0.66537,0.82787,0.96886,0.002674,0.002674,0.002674
39,3626.67,0.72804,0.92935,1.04202,0.64119,0.96381,0.6763,0.5748,0.63325,0.85898,0.94842,0.002476,0.002476,0.002476
40,3731.13,0.70003,0.91277,1.026,0.64634,0.95587,0.67113,0.5566,0.63233,0.85088,0.94479,0.002278,0.002278,0.002278
